wmae,mae,rmse,n_rows,anom_mae,fold,train_start,train_end,val_start,val_end,kernel,bandwidth,min_samples,ridge,coef_clip,anom_clip_scale,run_id,runtime_sec
1679.566201676219,1661.7848434480636,3411.987043016504,38530.0,1661.7848434480634,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,exponential,6,12,0.0001,6.0,2.0,9,102.00653140002396
2458.486407936983,2253.7716815037074,4921.714968423196,38798.0,2253.7716815037074,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,exponential,6,16,0.0001,6.0,2.0,10,100.05032859998755
2144.275300976958,2151.899846788576,4391.955569060502,38685.0,2151.899846788576,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,exponential,6,16,0.0001,6.0,2.0,10,100.05032859998755
1883.3957741688198,1883.3957741688198,3659.408730124536,38373.0,1883.3957741688198,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,exponential,6,16,0.0001,6.0,2.0,10,100.05032859998755
1679.564965448486,1661.7832265661436,3411.9819287957594,38530.0,1661.7832265661436,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,exponential,6,16,0.0001,6.0,2.0,10,100.05032859998755
2446.9563705010896,2241.6698893893504,4902.6709972283625,38798.0,2241.6698893893504,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,exponential,8,12,0.0001,6.0,2.0,11,98.2401225999929
2136.92783383383,2144.404799511706,4377.070053469694,38685.0,2144.404799511706,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,exponential,8,12,0.0001,6.0,2.0,11,98.2401225999929
1868.5490448156843,1868.5490448156843,3629.6364887344325,38373.0,1868.5490448156843,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,exponential,8,12,0.0001,6.0,2.0,11,98.2401225999929
1659.282784027438,1641.071472539609,3358.9091195845976,38530.0,1641.0714725396087,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,exponential,8,12,0.0001,6.0,2.0,11,98.2401225999929
2446.956360123154,2241.6698633440055,4902.670865131247,38798.0,2241.6698633440055,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,exponential,8,16,0.0001,6.0,2.0,12,98.28624490002403
2136.9380337024436,2144.418150138426,4377.084976211169,38685.0,2144.418150138426,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,exponential,8,16,0.0001,6.0,2.0,12,98.28624490002403
1868.5490303218226,1868.5490303218226,3629.6364605618246,38373.0,1868.5490303218226,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,exponential,8,16,0.0001,6.0,2.0,12,98.28624490002403
1659.282520373025,1641.071127701807,3358.9079668136433,38530.0,1641.071127701807,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,exponential,8,16,0.0001,6.0,2.0,12,98.28624490002403
